track_id,track_name,popularity,duration_ms,explicit,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo
72xTsTouZ5nBmASX8k1XCW,Trampoline - Acoustic,46,213098,False,0.596,0.2,0.0305,0.91,0.000183,0.0884,0.308,107.893
3ILmwMefYZoQh5Cf5jeuUQ,透明だった世界,61,232360,False,0.373,0.914,0.0565,0.076,0.0,0.669,0.56,168.21
2DHDuADAHoUW6n0z80RLQF,Pieces,60,241119,False,0.494,0.652,0.0314,0.0754,0.00256,0.125,0.298,137.018
5JDcQAztvZTIkrWoZihgvC,A Drop in the Ocean,68,220239,False,0.447,0.393,0.038,0.785,0.0,0.28,0.564,73.139
2sYFi9xVSZ56WHKSY2fN1K,So Far Away - Acoustic,52,171543,False,0.576,0.331,0.0306,0.894,3.44e-05,0.129,0.407,149.02
6xJOhSm4SvZwzy3uhWz26O,The Enemy,62,286865,False,0.536,0.89,0.0375,0.078,0.0202,0.131,0.273,121.974
7lLKxcNeJtDTWVRKHovLEC,Build It Better,51,234473,False,0.526,0.333,0.0314,0.91,0.168,0.111,0.159,94.951
25UzeaV47eDT44Fovve6xQ,Sleepwalking in the Rain,0,216000,False,0.501,0.381,0.036,0.687,0.00133,0.119,0.502,80.075
4oa14QBfWRDfJy2agySy0L,Gravity,67,232760,False,0.27,0.275,0.0356,0.834,0.0,0.146,0.231,168.964
2gRKq9rIC5i1zuxp06zJWH,What's Left of You,57,178600,True,0.731,0.507,0.046,0.572,0.0,0.0912,0.265,117.969
08MFgEQeVLF37EyZ7jcwLc,Pano,75,254400,False,0.375,0.457,0.0315,0.868,0.0145,0.191,0.415,174.839
6nXIYClvJAfi6ujLiKqEq8,Sky's Still Blue,62,244320,False,0.43,0.791,0.0302,0.0726,0.0193,0.11,0.217,171.864
7x4b0UccXSKBWxWmjcrG2T,And I Love Her,66,124933,False,0.616,0.282,0.0331,0.983,0.833,0.13,0.435,96.638
0wbmIfvndFV9VDvuUY1pYN,Always Be My Baby,62,181852,False,0.582,0.255,0.0306,0.772,0.0,0.0889,0.285,139.884
3e5yu9MkIvQx17mm7LF6KY,Alone with You,58,186584,False,0.549,0.274,0.0379,0.798,6.63e-06,0.103,0.207,86.664
6VwAh8Z1d5YKoSWoEaV4db,Making All Things New,65,159600,False,0.787,0.355,0.0288,0.896,0.0201,0.111,0.48,99.978
2D4BSm5Z8Hq5zYbSgJwEOh,She Used To Be Mine,67,250266,False,0.397,0.303,0.0435,0.381,0.0,0.101,0.172,81.05
7LwGBxB0h0CVmkOZxYKn0g,In My Veins - Feat. Erin Mccarley,65,318908,False,0.548,0.42,0.0277,0.198,4.46e-06,0.0899,0.196,128.012
0ZwdH0m32I8odedwvspYTh,I Don't Wanna Live Forever (Fifty Shades Darker),44,222351,False,0.787,0.403,0.033,0.603,0.00857,0.131,0.264,118.042
16dkWKIlBsfYTISCVuDs0w,A Drop In the Ocean,55,219480,False,0.484,0.573,0.0298,0.0882,1.14e-06,0.15,0.346,139.966
3TwtrR1yNLY1PMPsrGQpOp,Superman (It's Not Easy),70,221693,False,0.382,0.416,0.0302,0.0733,0.0,0.0719,0.125,102.089
3Et4LKZLnXygPYfNdeB3D3,When the End Comes,57,354400,False,0.541,0.575,0.0491,0.677,0.215,0.102,0.428,91.98
2E9viCx0hJKNKNThd2MdGQ,You're Still The One,56,177500,False,0.607,0.473,0.034,0.712,0.0,0.66,0.54,119.698
0Zf1BPkkFAWGtVHeBwHHz4,Light Me Up,56,247840,False,0.417,0.595,0.0396,0.158,0.000269,0.101,0.117,147.928
38jy6kRlPt8z1GUS9WXeNh,93 Million Miles,67,216386,False,0.572,0.454,0.0258,0.477,1.37e-05,0.0974,0.515,140.182
2SkJKMfjpYsNv0KWOxiegX,Kaleidoscope,62,229320,False,0.709,0.913,0.0748,0.0182,0.0,0.167,0.519,108.024
11TK5KLtLZUdKr1C549bAw,What Would I Do Without You,64,172213,False,0.602,0.336,0.0369,0.883,0.0017,0.143,0.335,90.894
7BXW1QCg56yzEBV8pW8pah,Have It All,65,226106,False,0.643,0.638,0.0407,0.204,0.0,0.0707,0.6,82.001
2kMrCPZ0o5gErBPLCRgoli,Heavy Heart,0,235173,False,0.451,0.7,0.0431,0.455,0.00233,0.405,0.37,150.055
5IjTZ1g8KrIuV97N3OQZ0V,The House We Never Built,0,195213,False,0.546,0.391,0.063,0.784,2.72e-06,0.0552,0.202,139.669
3bHhUEOTIbezeZ856R0BX5,Society,68,236306,False,0.561,0.327,0.0327,0.902,0.000469,0.111,0.298,161.858
0wf17wsLRwnnfh241GkeH5,Please Don't Say You Love Me,0,181400,False,0.479,0.541,0.0543,0.74,0.0,0.108,0.3,85.994
3322ArxAq7wCSZI4fF77Q0,Please Don't Say You Love Me,0,181400,False,0.479,0.541,0.0543,0.74,0.0,0.108,0.3,85.994
4LGF2tDg3878bs0mQPByZ4,Guaranteed,61,164500,False,0.436,0.4,0.0272,0.904,0.00105,0.125,0.351,100.734
6Uy6K3KdmUdAfelUp0SeXn,Brave,70,220573,False,0.551,0.836,0.0524,0.00502,2.1e-05,0.0425,0.758,185.063
2z2JKNU24UEngb4joR9p8f,Lonely This Christmas,0,257493,False,0.409,0.153,0.0306,0.939,2.56e-05,0.108,0.18,85.262
2nef44o0sjJDKB1ta4S0ub,Lonely This Christmas,0,257493,False,0.409,0.153,0.0306,0.939,2.56e-05,0.108,0.18,85.262
0qJGlogD7AyMLAJfQ42aI2,Heaven Knows,62,210612,False,0.6,0.845,0.0311,0.048,0.0,0.24,0.392,97.631
04JS6OitE9VGsIS3S94Osg,I Heard The Bells On Christmas Day,0,154440,False,0.492,0.145,0.0422,0.872,9.68e-06,0.107,0.218,90.078
5OGpsZeJRZ3t3MZioawcZW,I Heard The Bells On Christmas Day,0,154440,False,0.492,0.145,0.0422,0.872,9.68e-06,0.107,0.218,90.078
3Vnes7v746dYzBn0FJTZ1W,Fairytale Of New York,0,263866,False,0.447,0.555,0.0349,0.218,3.46e-06,0.124,0.33,117.888
30cYWLpVdBZVLb1cYdmcTT,I Heard The Bells On Christmas Day,0,154440,False,0.492,0.145,0.0422,0.872,9.68e-06,0.107,0.218,90.078
7sUqJ51FGSi3n7x4pYjY3v,I Heard The Bells On Christmas Day,0,154440,False,0.492,0.145,0.0422,0.872,9.68e-06,0.107,0.218,90.078
15BFn2VmEtonsXfNL1lUmy,I Heard The Bells On Christmas Day,0,154440,False,0.492,0.145,0.0422,0.872,9.68e-06,0.107,0.218,90.078
0WOFJR54wyTwLB11jcBDb1,I Heard The Bells On Christmas Day,0,154440,False,0.492,0.145,0.0422,0.872,9.68e-06,0.107,0.218,90.078
1uDCw6LVMOmbZ6zRliNcNX,I Heard The Bells On Christmas Day,0,154440,False,0.492,0.145,0.0422,0.872,9.68e-06,0.107,0.218,90.078
7DYsBLdOqz0z14tYWMt2Tn,Hold On,0,177613,False,0.661,0.937,0.0979,0.322,1.04e-06,0.19,0.805,105.549
7cPuE0M35EajWPRO3nRcH8,Suddenly I See,0,199040,False,0.603,0.78,0.0438,0.139,0.0,0.164,0.693,100.499
0U32q8CZRRo7xCzyiaZw5f,Rain,58,293040,False,0.626,0.655,0.0263,0.503,0.0,0.13,0.542,92.003
4kQXMVjoZ9yMibLZq5Aqi5,Somebody Else - Acoustic,50,138495,False,0.794,0.38,0.0477,0.762,0.0,0.262,0.617,114.99
3us8sod4dLbM9FiMiPiEY8,Pieces (Hushed),59,198626,False,0.52,0.279,0.0547,0.894,0.000105,0.103,0.0951,69.642
068qo0w1Ki0cjnFYOUhAm2,Stand by Me,60,199019,False,0.728,0.266,0.0293,0.872,1.03e-05,0.114,0.307,115.189
2RFt6ZWQbr9mPhsft9u9eX,Losing Me,61,181760,False,0.66,0.407,0.0571,0.236,0.0,0.109,0.257,133.86
59pUIlXjQupbiYwt40uUTi,なんでもないや - movie ver.,49,349920,False,0.357,0.161,0.0388,0.971,1.4e-05,0.358,0.325,83.449
0VhZ5JYfqPojSYeGWnk4dL,You’re Beautiful - Acoustic,55,204973,False,0.479,0.154,0.0352,0.915,0.0,0.0974,0.36,147.207
0ltIx8PLjtWoS9zn9PqsZW,Hikare Inochi,51,322146,False,0.592,0.769,0.0311,0.319,4.66e-06,0.137,0.385,102.033
7ACW42whcdOiUxiNVu7ltx,How To Lose a Girl,46,210375,False,0.7,0.454,0.0388,0.55,0.0022,0.121,0.34,80.011
4VbDTk82rqWqVgoQC93CkC,Dive Deep (Hushed),58,218531,False,0.507,0.378,0.0332,0.852,0.000212,0.0937,0.085,135.86
1pG5nd6gmfbMwUfT5shDQe,When the Party's over (Acoustic Piano),51,195945,False,0.619,0.226,0.0641,0.959,4.42e-05,0.106,0.188,124.96
2WZyfujzMweFLnozyUJBkW,Boston,63,245933,False,0.404,0.571,0.0303,0.182,2.08e-05,0.129,0.29,147.01
6gijbGNDNNJgT60Aj7UCyc,Living in the Shadows,53,212386,False,0.418,0.79,0.0506,0.0284,9.96e-06,0.117,0.197,175.975
08OjvLnGR3M0HUhcePeMNO,death bed (coffee for your head),47,112008,False,0.565,0.0392,0.045,0.835,0.183,0.117,0.601,125.399
65VhbQdqvozUntjnlFkFbZ,You Are My Sunshine,60,123609,False,0.664,0.0755,0.0389,0.91,0.0,0.164,0.575,80.004
05pKAafT85jeeNhZ6kq7HT,I Won't Give Up,66,240165,False,0.585,0.303,0.0398,0.694,0.0,0.115,0.142,136.703
3PG6V5yuFfo4APiovOQoRv,I Was Born To Love You,67,265843,False,0.65,0.271,0.0314,0.794,6.9e-05,0.196,0.21,78.036
5O9R57EozcpLKGQBzadPVy,Only Love Can Hurt Like This,43,194194,False,0.534,0.213,0.0283,0.884,0.0,0.107,0.0998,98.385
6ta5yavnnEfCE4faU0jebM,Mr Blue,54,154600,False,0.456,0.386,0.032,0.835,0.108,0.389,0.612,165.733
7BRCa8MPiyuvr2VU3O9W0F,Do Not Let Me Go,60,158960,False,0.409,0.234,0.0323,0.338,5e-05,0.0895,0.145,139.832
5ZhaKUsY68U0lgREFWfoxg,Holding On And Letting Go,49,319000,False,0.502,0.53,0.0266,0.805,0.000738,0.0728,0.102,78.046
4zcMBfbQZvBSHQBGDd6gsN,You Already Know,57,214360,False,0.496,0.117,0.0301,0.933,0.0,0.126,0.318,78.068
7bhHLZxkRekrNPPkEdDTbn,Believer (Remix),42,204480,False,0.585,0.724,0.0745,0.315,0.0681,0.0448,0.333,187.484
5rwq6R0Uq0BngM3rdmCeNg,Collide - Acoustic Version,67,277000,False,0.582,0.253,0.0259,0.827,2.95e-05,0.091,0.294,90.186
2lxBZVbkiCXC1soks2RXwV,Love Like This,61,214240,False,0.637,0.14,0.0407,0.903,0.0,0.107,0.392,139.78
38YgZVHPWOWsKrsCXz6JyP,Come On Get Higher,71,215173,False,0.672,0.623,0.0297,0.241,0.0,0.0848,0.617,92.018
72R0X0h8YaxYNpegeoOl0M,Kiss Me Slowly,61,235813,False,0.47,0.801,0.0352,0.0758,3.53e-05,0.218,0.431,173.92
6R6ux6KaKrhAg2EIB2krdU,Without You,61,228933,False,0.564,0.864,0.0341,0.0761,0.0,0.182,0.534,95.984
2D9w6sabdMCLSheW5aegwO,Absolutely Zero,20,339196,False,0.521,0.495,0.027,0.128,0.0,0.296,0.116,135.061
1Qo3taHLFSQpzLm5Sty7M4,Sleep All Day,22,296843,False,0.616,0.81,0.0668,0.369,0.0,0.107,0.79,97.994
71M4QMn8nrok1KFVXwEEyU,You and I Both,35,218240,False,0.615,0.812,0.0458,0.184,0.0,0.328,0.74,98.954
4lxGVzcUaSF5HW5jtWnShV,Long Nights,60,151773,False,0.478,0.305,0.0306,0.675,0.00139,0.169,0.0974,108.66
2PIlBukQ6limukVR8Ubb5o,Please Don't Say You Love Me,59,181400,False,0.479,0.541,0.0545,0.737,0.0,0.108,0.321,85.994
5p9XWUdvbUzmPCukOmwoU3,Suddenly I See,73,201706,False,0.587,0.767,0.0449,0.225,0.0,0.112,0.664,100.38
1uSuY2qLCbx1QB7oPUVhFG,Who Needs Shelter,22,192260,False,0.514,0.569,0.03,0.601,2.21e-06,0.218,0.264,142.597
6twvFrIoIINH8UW8EB8OnU,No Stopping Us,19,198855,False,0.646,0.836,0.0327,0.301,3.23e-05,0.29,0.727,105.991
2pelUnMKr07JjJpilj9Yew,I'll Do Anything,24,191889,False,0.57,0.711,0.0703,0.119,0.0,0.352,0.648,163.117
7d0bJhpp0mCYyMXaMgWyMS,Make You Feel My Love,57,171293,False,0.678,0.199,0.0307,0.957,3.23e-06,0.0968,0.262,72.006
73CbJykoV6WapWGfTeRzTl,The Remedy (I Won't Worry),35,256440,False,0.589,0.867,0.0385,0.041,0.0,0.306,0.795,94.52
3ixLIO5BsTmic0Pp27FaPY,Too Much Food,20,221425,False,0.626,0.926,0.0477,0.0265,0.0,0.159,0.548,99.997
5ZetMq21bMQN5oo4TtdOxu,The Boy's Gone,18,255047,False,0.686,0.556,0.0271,0.532,0.0,0.0922,0.36,112.997
4MihgVRpD82EZoT61GW63w,Curbside Prophet,23,214552,False,0.619,0.793,0.0661,0.263,0.0,0.0828,0.892,177.991
0fzCtVM9D5UEwiLqcY8Ouq,Hard Sun,65,322080,False,0.438,0.827,0.0328,0.0512,0.000402,0.319,0.645,143.377
6IF2P93LkyW4GqDQu1yS7H,Here with Me,55,238971,False,0.582,0.375,0.0329,0.702,0.0631,0.136,0.106,129.909
5aDpULK8MbJmHl42kR5KNI,Collide,56,249120,False,0.636,0.625,0.0277,0.222,5.35e-05,0.119,0.342,93.931
1fI1TMpz7FVkpoYBhmiywp,get better,53,111734,False,0.639,0.201,0.0526,0.907,2.26e-05,0.124,0.4,88.107
23Mcmg5O8rBKAOzxvrTjnD,Sympathy,49,210760,False,0.69,0.423,0.0294,0.883,0.0123,0.111,0.59,130.121
0gVbkmFqq5fIkXtJJ3UTfM,Let It Go,51,255688,False,0.599,0.349,0.0301,0.819,0.0,0.112,0.444,147.913
00DuOxungwHwVUX2m37P0P,What You Need,53,181786,False,0.519,0.264,0.0601,0.918,0.000253,0.237,0.192,140.354
2lFlveK1y13WWp3vnQtrr3,100 Years,66,244600,False,0.643,0.569,0.0276,0.544,2.17e-05,0.178,0.275,120.507
2WD93lsfJonaKtrQtpLB2R,You're the Sea,56,174546,False,0.573,0.624,0.0324,0.471,0.117,0.114,0.529,161.025
6ivkBaxvclVhwZDE2uwldj,Belong,51,255600,False,0.426,0.399,0.034,0.761,0.00112,0.118,0.217,115.979
6Cvti10W0AzmzG9D1tpuKp,As It Was,55,176542,False,0.505,0.21,0.0295,0.907,0.0,0.11,0.323,80.721
03yc0G2OoH1Eeyu7Piy8fK,I'm Yours,60,243494,False,0.693,0.43,0.0442,0.565,0.0,0.0928,0.731,151.001
5RO0MNa5hBKIM4OcjygadU,Chi Mai,40,188695,False,0.739,0.287,0.059,0.969,0.961,0.111,0.557,80.64
78TKtlSLWK8pZAKKW3MyQL,Say Something,58,229400,False,0.453,0.146,0.0343,0.867,3.49e-06,0.0945,0.0915,137.905
1esE8j1nVyzEQ5rVhYXoJT,Had It All,55,216853,False,0.606,0.54,0.0339,0.182,0.000144,0.144,0.249,79.952
68Yc9ylRZZPtsuVgtrxcDj,Take Me Back ft. Yonnyboii,50,149000,False,0.595,0.646,0.0327,0.11,0.0,0.258,0.563,120.049
3tjjCCdXSdaVEo4q4y071G,Whole Again - Acoustic Version,52,157231,False,0.736,0.145,0.0336,0.855,0.0,0.108,0.235,129.832
3tob5ofeuvFKKSbOTldenC,Overpass Graffiti,54,226603,False,0.479,0.126,0.0303,0.966,0.0,0.113,0.279,96.327
4E6cwWJWZw2zWf7VFbH7wf,Love Song,73,258826,False,0.583,0.786,0.0301,0.0208,0.0,0.188,0.573,123.055
3uAdZpIbMTtVXitHVibLMV,Let Her Go,38,194013,False,0.549,0.291,0.0388,0.858,0.000846,0.129,0.376,75.153
2LC523tbEPFpc1pnikbt5b,Brighter Than Sunshine,53,242439,False,0.418,0.489,0.0323,0.287,0.0288,0.42,0.398,72.891
3ISLwA96mtx13Wx7K1PPPk,Love Story,55,232500,False,0.498,0.12,0.0487,0.851,0.0,0.171,0.338,121.187
7Ca2CkwSqHyr3eCh8IRdjz,Mujer con Abanico,41,156787,False,0.769,0.135,0.061,0.986,0.905,0.106,0.471,103.939
6ql0ffq6Jvyh9OKqrJCMaP,In the Shadows,46,263823,False,0.434,0.469,0.0265,0.52,0.000328,0.108,0.0568,136.282
1EyvonxK8OGHRV4WDRdArc,Can You Feel the Love Tonight,63,250916,False,0.452,0.198,0.0335,0.931,2.24e-06,0.1,0.217,119.499
0EKBV6GybPtALXUgWqWrym,The Story,66,238493,False,0.544,0.5,0.026,0.0325,3.78e-06,0.109,0.177,93.621
41A82PidFKhGX5hm1WoaDs,Better,54,215906,False,0.662,0.187,0.0268,0.969,0.000273,0.0922,0.233,104.988
5oV8bZaShr2d01FFMHBUPq,Iris,62,181136,False,0.497,0.13,0.0436,0.841,0.0,0.111,0.179,130.769
5nMRpGfqQ0tb1TMbqBVK2J,Rockabye - Acoustic Version,57,157466,False,0.528,0.291,0.0401,0.914,0.0,0.121,0.355,76.805
04qDUASuSfVp6fktfsxVej,I Need You More Today,68,233728,False,0.461,0.522,0.043,0.36,0.0,0.123,0.446,157.768
3dglCYsVMjPbDlU2CC9Vq7,Let's See What The Night Can Do,53,245186,False,0.392,0.423,0.0348,0.27,0.0,0.117,0.288,113.537
3NCg46FWgnANZc9HQHQOQR,Forever And Always,57,248960,False,0.657,0.716,0.0301,0.014,0.0,0.0483,0.435,93.924
0muntSMuAZzcwYBBMZj6sf,Fine On The Outside,52,252466,False,0.495,0.185,0.0288,0.692,0.00403,0.109,0.196,101.89
4bXoVtbp6fN8FaSQvGQB41,Tortured Soul,53,246613,False,0.55,0.499,0.0338,0.472,2.26e-06,0.0798,0.144,86.966
3FRARAKLpHw3er9ZaTwaHO,I Believe in You,53,198786,False,0.534,0.359,0.0296,0.449,1.2e-05,0.331,0.267,131.804
2Dzhwe90lhHXVU6lk7Nx0H,At Home,55,226640,False,0.378,0.52,0.0382,0.777,0.0888,0.0979,0.357,73.744
0v0pc1lIt5p6EBX7pnfOGF,Holding On and Letting Go,49,317441,False,0.486,0.555,0.0271,0.818,0.00269,0.109,0.0992,77.987
5wQci5VCUjdbKnRD61XYwu,The Flood,60,261640,False,0.577,0.446,0.0313,0.554,0.0782,0.116,0.262,81.005
0HQnJee8ShSDu2AYwibxst,Hanggang Kailan (Umuwi Ka Na Baby),38,211933,False,0.59,0.407,0.0361,0.861,9.95e-06,0.094,0.276,145.852
4VoJCUgNmnqG2qF0peDBkw,Out of My League,67,218800,False,0.538,0.315,0.0291,0.96,0.00596,0.0979,0.4,91.921
7xLhousIHDxoGgeJNhO4Ye,Say Something,57,233266,False,0.447,0.158,0.036,0.872,1.58e-06,0.0816,0.142,140.942
1bhpBRCLsVg3p7BWARbaDS,Rise,60,156453,False,0.401,0.58,0.0541,0.906,0.217,0.134,0.526,173.277
6NSlOEEtWlqvEFrjQsry77,World Spins Madly On,64,165133,False,0.502,0.311,0.0285,0.617,4.32e-05,0.129,0.4,107.612
1HqVCK9h4LiJ61aRrrKTAt,Stumble,0,216626,False,0.678,0.612,0.0339,0.1,0.316,0.164,0.857,118.381
0wP19iM8ULJyV0r0LFDsDv,Paradise,0,251426,False,0.65,0.406,0.0761,0.568,0.0,0.484,0.862,79.642
45jGOHwYKgsRYbAJ8DR61d,ひまわりの約束,61,308146,False,0.523,0.445,0.0329,0.188,0.0,0.18,0.336,78.957
4iObEYRE4FLm0D90gmZFef,Since U Been Gone - Acoustic Version,50,221170,False,0.538,0.162,0.0299,0.847,0.0,0.114,0.366,94.981
7BRwh1bemr9rFMDeTbcy5S,Creep,58,234135,False,0.585,0.103,0.0309,0.801,0.0,0.126,0.179,133.057
3rzRo91l4htQvMXhsiECAX,Higher Love,30,173250,False,0.578,0.763,0.0998,0.0916,2.8e-06,0.0743,0.394,96.808
0v1vufjir4OE4iRckLMoLd,Hyouriittai,52,336619,False,0.223,0.891,0.138,0.325,0.0,0.287,0.333,159.888
4vAnqYqm1DOo5IDVcxORX3,How Long Will I Love You,55,144830,False,0.382,0.157,0.0361,0.878,0.000473,0.112,0.224,136.11
2X5AFygz5SDYlXagyPw8kX,Binibini,67,221538,False,0.642,0.374,0.032,0.423,1.54e-06,0.435,0.0979,129.863
13GvSZgg9LOs3M9uGbWsPE,You Were Supposed to Be Different,45,192972,False,0.436,0.239,0.0282,0.861,8.48e-05,0.0902,0.137,73.761
4x7AdVDV9IFWp8pg4LMz90,Perfect / Style,37,212864,False,0.593,0.292,0.0364,0.828,0.0,0.174,0.375,111.121
